  101 Helena         |2001 04 01.000|0.140650  |2.582763| 10.1903|343.5469 |346.7111 | 2000|348.2661  | 8.33| 0.35|   0.00
  103 Hera           |2001 04 01.000|0.080380  |2.702297|  5.4230|136.3186 |188.2318 | 2000|330.9531  | 7.66| 0.15|   0.00
  114 Kassandra      |2001 04 01.000|0.135972  |2.676699|  4.9366|164.4093 |352.9290 | 2000| 16.1094  | 8.26| 0.15|   0.00
  116 Sirona         |2001 04 01.000|0.139303  |2.768335|  3.5727| 64.0874 | 93.2257 | 2000|251.1705  | 7.82| 0.15|   0.00
  128 Nemesis        |2001 04 01.000|0.128117  |2.749108|  6.2552| 76.4725 |302.9718 | 2000| 86.4292  | 7.49| 0.15|   0.00
  129 Antigone       |2001 04 01.000|0.214047  |2.866986| 12.2250|136.4721 |108.5505 | 2000| 43.8546  | 7.07| 0.33|   0.00
  138 Tolosa         |2001 04 01.000|0.162564  |2.448417|  3.2097| 55.0940 |259.0997 | 2000|349.7376  | 8.75| 0.15|   0.00
  144 Vibilia        |2001 04 01.000|0.232463  |2.656182|  4.8108| 76.6847 |293.1665 | 2000|305.0604  | 7.91| 0.17|   0.00
  196 Philomela      |2001 04 01.000|0.024848  |3.114414|  7.2538| 72.6586 |206.4268 | 2000|341.1711  | 6.54| 0.15|   0.00
  234 Barbara        |2001 04 01.000|0.243085  |2.386684| 15.3420|144.6806 |191.6564 | 2000|320.4401  | 9.02| 0.15|   0.00
  247 Eukrate        |2001 04 01.000|0.243704  |2.740775| 24.9765|  0.2709 | 55.3374 | 2000|299.2414  | 8.04| 0.15|   0.00
  270 Anahita        |2001 04 01.000|0.150020  |2.198463|  2.3669|254.6705 | 79.9293 | 2000|326.3431  | 8.75| 0.15|   0.00
  346 Hermentaria    |2001 04 01.000|0.103379  |2.795049|  8.7615| 92.1775 |290.6037 | 2000| 89.8162  | 7.13| 0.15|   0.00
  349 Dembowska      |2001 04 01.000|0.085867  |2.925991|  8.2437| 32.6409 |345.1541 | 2000|284.5575  | 5.93| 0.37|   0.00
  354 Eleonora       |2001 04 01.000|0.112289  |2.798830| 18.3835|140.5282 |  6.4573 | 2000| 23.9611  | 6.44| 0.37|   0.00
  409 Aspasia        |2001 04 01.000|0.071418  |2.576740| 11.2396|242.4469 |353.2573 | 2000|  5.8866  | 7.62| 0.29|   0.00
  410 Chloris        |2001 04 01.000|0.237900  |2.728203| 10.9269| 97.2838 |172.2349 | 2000|341.2972  | 8.30| 0.15|   0.00
  451 Patientia      |2001 04 01.000|0.075919  |3.059703| 15.2363| 89.4647 |342.9097 | 2000|322.6524  | 6.65| 0.19|   0.00
  511 Davida         |2001 04 01.000|0.183567  |3.168184| 15.9474|107.7651 |339.0086 | 2000|257.4936  | 6.22| 0.16|   0.00
  532 Herculina      |2001 04 01.000|0.177383  |2.771679| 16.3080|107.6580 | 76.8544 | 2000| 14.0706  | 5.81| 0.26|   0.00
  563 Suleika        |2001 04 01.000|0.236043  |2.711126| 10.2525| 85.4928 |336.9927 | 2000|309.1343  | 8.50| 0.15|   0.00
  704 Interamnia     |2001 04 01.000|0.145956  |3.062276| 17.3277|280.6551 | 94.7088 | 2000|326.1202  | 5.94|-0.02|   0.00
  712 Boliviana      |2001 04 01.000|0.187883  |2.573832| 12.7856|231.1076 |181.5664 | 2000|323.1494  | 8.32| 0.03|   0.00
