 5066 Garradd        |2001 10 18.000|0.154605  |1.936059| 41.4584| 82.3767 |184.4057 | 2000| 66.1385  |14.1 | 0.15|   0.00
 5131 1990 BG        |2001 10 18.000|0.569855  |1.485899| 36.3989|110.4740 |135.7440 | 2000|108.2421  |14.1 | 0.15|   0.00
 5143 Heracles       |2001 10 18.000|0.772541  |1.832479|  9.1352|310.3399 |226.8443 | 2000|311.0240  |14.0 | 0.15|   0.00
 5164 Mullo          |2001 10 18.000|0.504951  |3.645627| 19.8376| 55.4161 | 65.7264 | 2000|135.9724  |13.1 | 0.15|   0.00
 5261 Eureka         |2001 10 18.000|0.064782  |1.523570| 20.2818|245.1248 | 95.3175 | 2000|300.0058  |16.1 | 0.15|   0.00
 5332 1990 DA        |2001 10 18.000|0.456112  |2.164338| 25.4307|143.1334 |305.5513 | 2000|258.6455  |13.9 | 0.15|   0.00
 5381 Sekhmet        |2001 10 18.000|0.296088  |0.947463| 48.9725| 58.5716 | 37.4316 | 2000|221.8741  |16.5 | 0.15|   0.00
 5587 1990 SB        |2001 10 18.000|0.548400  |2.391451| 18.0967|190.5337 | 86.1874 | 2000| 30.5710  |13.6 | 0.15|   0.00
 5645 1990 SP        |2001 10 18.000|0.387340  |1.354761| 13.5129| 45.8699 | 48.0577 | 2000|314.9632  |17.0 | 0.15|   0.00
 5653 Camarillo      |2001 10 18.000|0.304064  |1.794114|  6.8748| 10.1046 |122.3025 | 2000|219.2217  |15.4 | 0.15|   0.00
 5731 Zeus           |2001 10 18.000|0.653335  |2.262663| 11.4391|281.8033 |216.9324 | 2000|256.4987  |15.8 | 0.15|   0.00
 5786 Talos          |2001 10 18.000|0.826732  |1.081467| 23.2359|161.3456 |  8.2994 | 2000|116.2515  |17.0 | 0.15|   0.00
 5836 1993 MF        |2001 10 18.000|0.531536  |2.445376|  8.0291|241.1140 | 74.8498 | 2000| 53.7842  |13.9 | 0.15|   0.00
 5879 Almeria        |2001 10 18.000|0.289342  |1.624575| 21.5722|145.9284 |355.5453 | 2000|245.2519  |17.9 | 0.15|   0.00
 6047 1991 TB1       |2001 10 18.000|0.352128  |1.454057| 23.4697|  6.2115 |103.6457 | 2000|201.8547  |17.0 | 0.15|   0.00
 6050 1992 AE        |2001 10 18.000|0.436415  |2.202984|  6.4007| 88.5123 |284.6464 | 2000| 20.8615  |15.4 | 0.15|   0.00
 6053 1993 BW3       |2001 10 18.000|0.529036  |2.147148| 21.5978|318.6230 | 74.6361 | 2000|330.6429  |15.1 | 0.15|   0.00
 6063 Jason          |2001 10 18.000|0.763037  |2.219072|  4.8498|169.8768 |336.5451 | 2000|110.6811  |15.3 | 0.15|   0.00
 6178 1986 DA        |2001 10 18.000|0.585790  |2.810727|  4.3074| 64.8262 |127.1260 | 2000|102.4361  |15.1 | 0.15|   0.00
 6564 Asher          |2001 10 18.000|0.266582  |1.881434| 45.2979|194.6398 |330.4287 | 2000|247.1598  |15.9 | 0.15|   0.00
 6611 1993 VW        |2001 10 18.000|0.484567  |1.694999|  8.6877|231.1712 |281.0576 | 2000|166.2438  |16.5 | 0.15|   0.00
 7096 Napier         |2001 10 18.000|0.503327  |2.775880| 11.2251|148.7808 |255.0985 | 2000|334.9210  |15.3 | 0.15|   0.00
 7335 1989 JA        |2001 10 18.000|0.484232  |1.770654| 15.2309| 61.5762 |231.8552 | 2000| 76.1475  |17.0 | 0.15|   0.00
 7341 1991 VK        |2001 10 18.000|0.506499  |1.842784|  5.4214|295.0433 |173.2388 | 2000|326.7729  |16.7 | 0.15|   0.00
 7350 1993 VA        |2001 10 18.000|0.391257  |1.356043|  7.2594|133.2265 |336.4856 | 2000|339.9671  |17.3 | 0.15|   0.00
 7358 1995 YA3       |2001 10 18.000|0.501119  |2.199241|  4.6608|266.4224 | 91.0312 | 2000|332.3053  |14.4 | 0.15|   0.00
 7467 1989 WQ1       |2001 10 18.000|0.126520  |1.654137| 15.9029| 69.1769 | 41.5132 | 2000|175.3862  |15.2 | 0.15|   0.00
 7889 1994 LX        |2001 10 18.000|0.346375  |1.261403| 36.9064|111.3254 |349.0791 | 2000|253.9072  |15.3 | 0.15|   0.00
 8035 1992 TB        |2001 10 18.000|0.462215  |1.341890| 28.3048|185.6936 |  5.9724 | 2000| 87.6460  |17.3 | 0.15|   0.00
 8176 1991 WA        |2001 10 18.000|0.642574  |1.575200| 39.6515| 66.7310 |241.7500 | 2000| 31.8376  |17.1 | 0.15|   0.00
 9856 1991 EE        |2001 10 18.000|0.624414  |2.245395|  9.7624|169.1066 |115.0739 | 2000| 13.7087  |17.4 | 0.15|   0.00
10150 1994 PN        |2001 10 18.000|0.540131  |2.376117| 46.0407|113.2021 |233.9150 | 2000|326.8996  |15.8 | 0.15|   0.00
